# t = 0.004
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-9.7458956303589306e-02 2.2386283506255121e-02 0.0000000000000000e+00 9.7461910160538756e-01 -2.2386962006021974e-01 0.0000000000000000e+00 3.4857880164954275e-05 9.8241989215291795e-04 1 1.0919723904673728e+05 1.1159149657287731e-02 1.4370189178419134e+04 3.2401482752185348e+02 1.4106024748745604e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5944243325862622e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.7098573175945543e-02 2.3901065670863024e-02 0.0000000000000000e+00 9.7101516110140884e-01 -2.3901790081750190e-01 0.0000000000000000e+00 3.7216560879203160e-05 1.0193461037789190e-03 1 1.0806466080335632e+05 1.1064213869470207e-02 1.4350583279405468e+04 3.6846138791190475e+02 1.4968820022233608e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5921433014858144e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.6714647645053539e-02 2.5410052811839980e-02 0.0000000000000000e+00 9.6717578942954685e-01 -2.5410822958206730e-01 0.0000000000000000e+00 3.9566218110870856e-05 1.0572592796309827e-03 1 1.0687049451255612e+05 1.0964184703111887e-02 1.4329644209433025e+04 4.1566215505422872e+02 1.5820753763534599e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5896653824060541e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.6307272797035687e-02 2.6912879061979013e-02 0.0000000000000000e+00 9.6310191747923890e-01 -2.6913694757095930e-01 0.0000000000000000e+00 4.1906282164890792e-05 1.0960469520888952e-03 1 1.0560106911086502e+05 1.0857814544993417e-02 1.4307128919215515e+04 4.6586939261396776e+02 1.6671055734668466e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5869646727508625e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.5876547403507567e-02 2.8409180047835318e-02 0.0000000000000000e+00 9.5879453299656581e-01 -2.8410041093933214e-01 0.0000000000000000e+00 4.4236185672148495e-05 1.1356092322651692e-03 1 1.0423847517183847e+05 1.0743486864823178e-02 1.4282713376492595e+04 5.1941541898208902e+02 1.7529459476230579e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5840031896679961e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.5422575897629952e-02 2.9898592978071833e-02 0.0000000000000000e+00 9.5425468034480487e-01 -2.9899499166379756e-01 0.0000000000000000e+00 4.6555363727041295e-05 1.1758574453365448e-03 1 1.0275577808466823e+05 1.0618644471414338e-02 1.4256006262435565e+04 5.7655014732100881e+02 1.8400832518064381e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5807421235887946e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.4945468348788087e-02 3.1380756731421176e-02 0.0000000000000000e+00 9.4948346025116459e-01 -3.1381707842224765e-01 0.0000000000000000e+00 4.8863254024448228e-05 1.2166889653564370e-03 1 1.0114846943241301e+05 1.0483388975135373e-02 1.4226449455301808e+04 6.3797374689690628e+02 1.9302503349993958e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5770767582038702e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.4445340435904301e-02 3.2855311944242668e-02 0.0000000000000000e+00 9.4448202953991378e-01 -3.2856307746940394e-01 0.0000000000000000e+00 5.1159296996064504e-05 1.2566528584581000e-03 1 9.9254099704148437e+04 1.0323515400893518e-02 1.4191177353533833e+04 7.0633652960024801e+02 2.0304233943546037e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5726566406576499e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
