# t = 0.004
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-7.3077935294093201e-03 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397491e-05 1.4181581365372981e-03 1 5.2354449678692608e+03 6.9457744285679793e-04 1.1407918240169756e+04 5.0241832684146611e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2649651529927360e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-5.9791037967894447e-03 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397563e-05 1.4133933164957699e-03 1 5.1955251127401261e+03 6.9028452741783921e-04 1.1396946539390605e+04 5.0416001499513450e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2626872699452142e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-4.6504140641695658e-03 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397563e-05 1.4095698636907956e-03 1 5.1578215294376168e+03 6.8621954539430682e-04 1.1386540049495894e+04 5.0579262474989837e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2605310107544069e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-3.3217243315496899e-03 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397491e-05 1.4066954541613014e-03 1 5.1152226023283301e+03 6.8161571512939277e-04 1.1374635949946487e+04 5.0761563722336205e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2580895935017015e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-1.9930345989298136e-03 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397556e-05 1.4047759136293797e-03 1 5.0801694781415317e+03 6.7781543377948414e-04 1.1364763140090719e+04 5.0908934817554891e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2560835770132712e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-6.6434486630993740e-04 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397495e-05 1.4038151590899893e-03 1 5.0107948867312134e+03 6.7024448036676770e-04 1.1345216949826006e+04 5.1191645098295676e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2521629799765233e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
