# t = 0.004
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-9.3922313419390752e-02 3.4321901097653207e-02 0.0000000000000000e+00 9.3925160085194881e-01 -3.4322941350800834e-01 0.0000000000000000e+00 5.3442935946072449e-05 1.2936932906479333e-03 1 9.6837679657810484e+04 1.0118830972311700e-02 1.4145494096837017e+04 7.8607491742206003e+02 2.1511038842275866e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5668542405452272e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.3376514111748674e-02 3.5780168604210877e-02 0.0000000000000000e+00 9.3379344235070683e-01 -3.5781253055590045e-01 0.0000000000000000e+00 5.5713617186119587e-05 1.3272310308182541e-03 1 9.3386719701675058e+04 9.8233265922389665e-03 1.4079954546783159e+04 8.8563830454682625e+02 2.3112752362126212e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5584920910573333e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.2808074846821631e-02 3.7229760894130257e-02 0.0000000000000000e+00 9.2810887741472170e-01 -3.7230889280808921e-01 0.0000000000000000e+00 5.7970790169564195e-05 1.3575080922640934e-03 1 8.8182638848088725e+04 9.3775741262955847e-03 1.3970538257069647e+04 1.0193870725689085e+03 2.5411753784261300e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5449440486296389e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.2211022665025150e-02 3.8667524918656132e-02 0.0000000000000000e+00 9.1882683091290540e-01 -3.9466093649428652e-01 0.0000000000000000e+00 6.0194736562698332e-05 1.3851275262284010e-03 1 7.8853753876208473e+04 8.5533938124276055e-03 1.3772303435920814e+04 1.2614966646552566e+03 2.9369437798644908e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5202086503536339e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.1423477842824841e-02 3.9989707858417614e-02 0.0000000000000000e+00 7.8416401985190975e-01 -6.2055361570914536e-01 0.0000000000000000e+00 6.1910109561596593e-05 1.4209990914996961e-03 1 5.3273945729561725e+04 6.1253041374560897e-03 1.3199186820433084e+04 2.5482585281872753e+03 3.2201128162015739e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.4457971009732087e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.0274903173074392e-02 4.0987447709011526e-02 0.0000000000000000e+00 5.0477975448448997e-01 -8.6324816794626213e-01 0.0000000000000000e+00 6.3454761592636577e-05 1.4842935831344930e-03 1 2.9293796802074168e+04 3.6367684408842261e-03 1.2413005633727775e+04 4.2600409458762751e+03 2.4910361847268514e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.3454259986186912e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-8.8842117453405048e-02 4.1499144555754916e-02 0.0000000000000000e+00 1.5626276533152580e-01 -9.8771551985930861e-01 0.0000000000000000e+00 6.4246945620497590e-05 1.5891436077173490e-03 1 1.8858985695048370e+04 2.5336811515530569e-03 1.1717812607904210e+04 5.4662317085821069e+03 8.6479200291150664e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.2310913317636878e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-8.7321349590625652e-02 4.1454718336098581e-02 0.0000000000000000e+00 -2.1365538045985238e-01 -9.7690909423577155e-01 0.0000000000000000e+00 6.4178167120387307e-05 1.7425433806382402e-03 1 9.4401794375522622e+03 1.3107773184669659e-03 1.1335332167570221e+04 5.3344231588419279e+03 -1.1666676216458200e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.1856701901025472e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
