# t = 0.004
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-7.0413328043613582e-02 3.0999488681373148e-02 0.0000000000000000e+00 5.3729960834682056e-01 8.4339144581288783e-01 0.0000000000000000e+00 4.0942919307192947e-05 1.6154455846122571e-03 -1 9.5215154280023626e+02 1.7147703349917429e-04 8.9195222555198343e+03 5.9791841786240984e+03 -3.8091604240920583e+03 0.0000000000000000e+00 9.2875531132961364e-05 2.8209852803618223e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-6.9299409415302701e-02 3.0289844250316812e-02 0.0000000000000000e+00 5.3729960834682899e-01 8.4339144581288228e-01 0.0000000000000000e+00 4.0005648535530049e-05 1.5806935837503217e-03 -1 9.7219201118710328e+02 1.7359391296458340e-04 9.0011570842146139e+03 5.9667340946561753e+03 -3.8012288458516214e+03 0.0000000000000000e+00 9.2875531132961364e-05 2.8317310945762711e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-6.8185490786991834e-02 2.9580199819260480e-02 0.0000000000000000e+00 5.3729960834682156e-01 8.4339144581288716e-01 0.0000000000000000e+00 3.9068377763867184e-05 1.5476845634193124e-03 -1 9.9305793849862755e+02 1.7585577065232946e-04 9.0807125563181471e+03 5.9540256342147532e+03 -3.7931326636436688e+03 0.0000000000000000e+00 9.2875531132961364e-05 2.8422335124641277e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-6.7071572158680967e-02 2.8870555388204152e-02 0.0000000000000000e+00 5.3729960834682533e-01 8.4339144581288483e-01 0.0000000000000000e+00 3.8131106992204651e-05 1.5165323416446378e-03 -1 1.0136209229718964e+03 1.7811234682960512e-04 9.1555948963692135e+03 5.9417271167744657e+03 -3.7852976439304775e+03 0.0000000000000000e+00 9.2875531132961364e-05 2.8521250333461549e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-6.5957653530370086e-02 2.8160910957147820e-02 0.0000000000000000e+00 5.3729960834682056e-01 8.4339144581288783e-01 0.0000000000000000e+00 3.7193836220542336e-05 1.4873535934446255e-03 -1 1.0331268810570893e+03 1.8026244628003259e-04 9.2244343807054556e+03 5.9303533761927592e+03 -3.7780517720516855e+03 0.0000000000000000e+00 9.2875531132961364e-05 2.8612078871660178e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-6.4843734902059219e-02 2.7451266526091488e-02 0.0000000000000000e+00 5.3729960834682056e-01 8.4339144581288783e-01 0.0000000000000000e+00 3.6256565448879688e-05 1.4602666242443121e-03 -1 1.0515776381594278e+03 1.8229330980010035e-04 9.2881827251577033e+03 5.9196038361463343e+03 -3.7712035597707491e+03 0.0000000000000000e+00 9.2875531132961364e-05 2.8696218021134291e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-6.3729816273748352e-02 2.6741622095035156e-02 0.0000000000000000e+00 5.3729960834683010e-01 8.4339144581288172e-01 0.0000000000000000e+00 3.5319294677216410e-05 1.4353898596206724e-03 -1 1.0693128998464595e+03 1.8424505044466083e-04 9.3480933593368954e+03 5.9091373733599812e+03 -3.7645356875938096e+03 0.0000000000000000e+00 9.2875531132961364e-05 2.8775358715636303e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-6.2615897645437485e-02 2.6031977663978825e-02 0.0000000000000000e+00 5.3729960834682056e-01 8.4339144581288783e-01 0.0000000000000000e+00 3.4382023905554386e-05 1.4128400537897080e-03 -1 1.0869102092415353e+03 1.8617368458715924e-04 9.4064256930625579e+03 5.8986160440397989e+03 -3.7578328615796659e+03 0.0000000000000000e+00 9.2875531132961364e-05 2.8852851767638540e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
