# t = 0.00399
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-1.5279931925128581e-02 2.0000000000000004e-02 0.0000000000000000e+00 2.6111791690545014e-15 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397515e-05 1.4658748916499100e-03 1 5.4361136083634447e+03 7.1548397026705739e-04 1.1468365264227925e+04 4.9266361754702020e+03 1.2864376230936614e-11 0.0000000000000000e+00 9.2875531132961364e-05 3.2774186085649876e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-1.3951242192508706e-02 2.0000000000000004e-02 0.0000000000000000e+00 -2.6111791690544983e-15 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397549e-05 1.4557153448127029e-03 1 5.4125287265532043e+03 7.1315420113582319e-04 1.1460417961655112e+04 4.9408136912480104e+03 -1.2901568702261557e-11 0.0000000000000000e+00 9.2875531132961364e-05 3.2757051375365263e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-1.2622552459888827e-02 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397546e-05 1.4464174704763215e-03 1 5.3844630080667785e+03 7.1032426630267796e-04 1.1451177699301410e+04 4.9560790981351947e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2737886411437862e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-1.1293862727268950e-02 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397580e-05 1.4379979830644637e-03 1 5.3515874321622414e+03 7.0693855378520059e-04 1.1440869341180007e+04 4.9725104292438500e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2716839016319163e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.9651729946490727e-03 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397475e-05 1.4304723927144555e-03 1 5.3147176849113712e+03 7.0307391255606687e-04 1.1429886608409442e+04 4.9898119823188426e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2694477094210833e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-8.6364832620291973e-03 2.0000000000000000e-02 0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00 0.0000000000000000e+00 2.6573794652397580e-05 1.4238548732091263e-03 1 5.2757151003937988e+03 6.9893293173999786e-04 1.1418778797987434e+04 5.0074662067735499e+03 0.0000000000000000e+00 0.0000000000000000e+00 9.2875531132961364e-05 3.2671670692922262e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
