# t = 0.00399
# 1:pos.x 2:pos.y 3:pos.z 4:n.x 5:n.y 6:n.z 7:area 8:cellWidthNormalToSurface 9:outsign 10:p 11:rho 12:T 13:velx 14:vely 15:velz 16:mu 17:a 18:Re 19:y+ 20:tau_wall_x 21:tau_wall_y 22:tau_wall_z 23:q_total 24:q_cond 25:q_diff
-9.3922313419390752e-02 3.4321901097653207e-02 0.0000000000000000e+00 9.3925160085194881e-01 -3.4322941350800834e-01 0.0000000000000000e+00 5.3442935946072449e-05 1.2936932906479333e-03 1 9.6866483695662333e+04 1.0121257928072452e-02 1.4145979638757279e+04 7.8600797366874872e+02 2.1509206918058708e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5669336700739068e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.3376514111748674e-02 3.5780168604210877e-02 0.0000000000000000e+00 9.3379344235070683e-01 -3.5781253055590045e-01 0.0000000000000000e+00 5.5713617186119587e-05 1.3272310308182541e-03 1 9.3412445201219947e+04 9.8255417070944370e-03 1.4080394146263930e+04 8.8563154368823632e+02 2.3112575922094711e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5585597646636529e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.2808074846821631e-02 3.7229760894130257e-02 0.0000000000000000e+00 9.2810887741472170e-01 -3.7230889280808921e-01 0.0000000000000000e+00 5.7970790169564195e-05 1.3575080922640934e-03 1 8.8203114944949455e+04 9.3793805166341050e-03 1.3970904271489406e+04 1.0194380313630988e+03 2.5413024108719937e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5449964308256408e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.2211022665025150e-02 3.8667524918656132e-02 0.0000000000000000e+00 9.1882683091290540e-01 -3.9466093649428652e-01 0.0000000000000000e+00 6.0194736562698332e-05 1.3851275262284010e-03 1 7.8867131566935757e+04 8.5546156060503364e-03 1.3772562951228301e+04 1.2616124546619908e+03 2.9372133554801667e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.5202436272321970e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.1423477842824841e-02 3.9989707858417614e-02 0.0000000000000000e+00 7.8416401985190975e-01 -6.2055361570914536e-01 0.0000000000000000e+00 6.1910109561596593e-05 1.4209990914996961e-03 1 5.3277581194918093e+04 6.1256850892410447e-03 1.3199268402659935e+04 2.5484960427689512e+03 3.2204129520551496e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.4458040277181308e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-9.0274903173074392e-02 4.0987447709011526e-02 0.0000000000000000e+00 5.0477975448448997e-01 -8.6324816794626213e-01 0.0000000000000000e+00 6.3454761592636577e-05 1.4842935831344930e-03 1 2.9295854766644370e+04 3.6367375019067741e-03 1.2413913577085174e+04 4.2603039321205251e+03 2.4911899645282269e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.3455375502351503e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-8.8842117453405048e-02 4.1499144555754916e-02 0.0000000000000000e+00 1.5626276533152580e-01 -9.8771551985930861e-01 0.0000000000000000e+00 6.4246945620497590e-05 1.5891436077173490e-03 1 1.8858103774510921e+04 2.5336008787656128e-03 1.1717702548692136e+04 5.4663845100612434e+03 8.6481617706003033e+02 0.0000000000000000e+00 9.2875531132961364e-05 3.2310690412696540e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
-8.7321349590625652e-02 4.1454718336098581e-02 0.0000000000000000e+00 -2.1365538045985238e-01 -9.7690909423577155e-01 0.0000000000000000e+00 6.4178167120387307e-05 1.7425433806382402e-03 1 9.4397802570164222e+03 1.3107344589955341e-03 1.1335309972784829e+04 5.3344327557913148e+03 -1.1666697205513206e+03 0.0000000000000000e+00 9.2875531132961364e-05 3.1856537367058681e+03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
